h,delta,p,theta,file
48.236803,24.454561,0.075884,76.791300,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T084902C3o.log"
32.840545,24.453097,0.075877,76.564600,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T074735C3o.log"
62.538105,24.448832,0.075881,74.906700,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T094606C3o.log"
49.718426,24.446439,0.075880,76.655000,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T085455C3o.log"
54.053947,24.447078,0.075874,76.167700,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T091216C3o.log"
19.676674,24.452407,0.075867,71.689000,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T065505C3o.log"
53.442940,24.455309,0.075901,76.292500,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T090949C3o.log"
35.835551,24.444959,0.075876,76.868200,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T075934C3o.log"
44.291839,24.449911,0.075906,76.996400,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T083318C3o.log"
48.542074,24.446269,0.075870,76.739100,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T085015C3o.log"
36.456763,24.449185,0.075875,76.922000,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T080201C3o.log"
53.755516,24.447050,0.075873,76.204200,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T091102C3o.log"
38.554527,24.453514,0.075899,77.059000,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T081025C3o.log"
58.308810,24.452032,0.076183,75.618000,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T092914C3o.log"
33.768308,24.448996,0.075887,76.668200,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T075116C3o.log"
50.925286,24.450756,0.075906,76.526100,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T085946C3o.log"
37.075619,24.449246,0.075886,76.957300,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T080428C3o.log"
36.763976,24.449199,0.075893,76.931800,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T080316C3o.log"
56.769092,24.455897,0.075911,75.855700,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T092306C3o.log"
54.368039,24.455485,0.075893,76.156200,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T091329C3o.log"
57.388278,24.447687,0.075887,75.723400,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T092534C3o.log"
21.214579,24.448299,0.075865,72.693500,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T070113C3o.log"
39.537365,24.453623,0.075885,77.076000,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T081418C3o.log"
58.619534,24.452118,0.075886,75.537200,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T093027C3o.log"
47.622171,24.450303,0.075901,76.812300,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T084636C3o.log"
46.400587,24.446009,0.075881,76.874900,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T084141C3o.log"
33.144390,24.448941,0.075866,76.592400,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T074848C3o.log"
60.073645,24.456574,0.075914,75.355000,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T093617C3o.log"
40.763031,24.453726,0.075883,77.070900,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T081912C3o.log"
55.894323,24.447413,0.075888,75.945700,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T091935C3o.log"
43.068313,24.445635,0.075881,77.017600,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T082823C3o.log"
38.872836,24.445232,0.075870,77.018100,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T081139C3o.log"
